Country,Population in Millions,GDP per Capita,Happiness
China,1394.02,18192.04,5.131433964
United States,332.64,58592.03,6.882684708
India,1326.09,7144.29,3.818068743
Japan,125.51,43367.94,5.793575287
Russia,141.72,28337.13,5.513500214
Indonesia,267.03,12171.08,5.340295792
Brazil,211.72,15341.31,6.190921783
Mexico,128.65,19145.03,6.549578667
Egypt,104.12,11563.09,4.005450726
Nigeria,214.03,5237.63,5.252288342
Pakistan,233.50,4543.88,5.471553802
Philippines,109.18,8034.38,5.869172573
Bangladesh,162.65,4244.06,4.499217033
Ethiopia,108.11,1855.46,4.379262447
